FID,site,dep,date_releve,mean_effectif_jour,mean_temperature,mean_rainfall,mean_humidity,geometry
albopictus_field_surveillance_traps_geo.fid-4228c831_19d2a78f364_-610e,Murviel-lès-Montpellier,34,2023-09-05,24.486772,22.7,0,53.2,"MULTIPOLYGON (((757362.4473730384 6279635.103701937, 757420.0801631659 6279899.995446756, 757686.631817506 6280021.702464646, 758291.7761138458 6279907.154683102, 758572.7359657177 6280014.543228299, 759386.7991262699 6280429.778936394, 759487.6565089931 6280680.35220852, 759422.8196200996 6280945.243953339, 759552.4933978866 6281174.3395164255, 760208.0663855879 6281403.435079512, 760179.2499905241 6280816.377699103, 760215.2704843539 6280508.530536205, 760676.3328053746 6280121.931773496, 761050.945941204 6280365.345809276, 761295.8852992462 6280415.460463701, 761720.9271264371 6279606.466756551, 762225.2140400535 6278990.772430755, 761951.4582869475 6278797.473049401, 761576.8451511181 6278396.555813999, 761159.0074226932 6278160.301014566, 759963.1270275457 6277838.135378975, 759487.6565089931 6277816.657669935, 758932.9409040151 6277673.472943006, 757902.7547804845 6277716.428361085, 757830.713792825 6278110.18636014, 757801.8973977612 6278747.358394976, 757614.5908298466 6279227.027230188, 757362.4473730384 6279635.103701937)))"
albopictus_field_surveillance_traps_geo.fid-4228c831_19d2a78f364_-610d,Murviel-lès-Montpellier,34,2023-09-19,27.545918,20,16.8,69.7,"MULTIPOLYGON (((757362.4473730384 6279635.103701937, 757420.0801631659 6279899.995446756, 757686.631817506 6280021.702464646, 758291.7761138458 6279907.154683102, 758572.7359657177 6280014.543228299, 759386.7991262699 6280429.778936394, 759487.6565089931 6280680.35220852, 759422.8196200996 6280945.243953339, 759552.4933978866 6281174.3395164255, 760208.0663855879 6281403.435079512, 760179.2499905241 6280816.377699103, 760215.2704843539 6280508.530536205, 760676.3328053746 6280121.931773496, 761050.945941204 6280365.345809276, 761295.8852992462 6280415.460463701, 761720.9271264371 6279606.466756551, 762225.2140400535 6278990.772430755, 761951.4582869475 6278797.473049401, 761576.8451511181 6278396.555813999, 761159.0074226932 6278160.301014566, 759963.1270275457 6277838.135378975, 759487.6565089931 6277816.657669935, 758932.9409040151 6277673.472943006, 757902.7547804845 6277716.428361085, 757830.713792825 6278110.18636014, 757801.8973977612 6278747.358394976, 757614.5908298466 6279227.027230188, 757362.4473730384 6279635.103701937)))"
albopictus_field_surveillance_traps_geo.fid-4228c831_19d2a78f364_-610c,Murviel-lès-Montpellier,34,2023-10-03,23.590476,19.3,2.5,67.8,"MULTIPOLYGON (((757362.4473730384 6279635.103701937, 757420.0801631659 6279899.995446756, 757686.631817506 6280021.702464646, 758291.7761138458 6279907.154683102, 758572.7359657177 6280014.543228299, 759386.7991262699 6280429.778936394, 759487.6565089931 6280680.35220852, 759422.8196200996 6280945.243953339, 759552.4933978866 6281174.3395164255, 760208.0663855879 6281403.435079512, 760179.2499905241 6280816.377699103, 760215.2704843539 6280508.530536205, 760676.3328053746 6280121.931773496, 761050.945941204 6280365.345809276, 761295.8852992462 6280415.460463701, 761720.9271264371 6279606.466756551, 762225.2140400535 6278990.772430755, 761951.4582869475 6278797.473049401, 761576.8451511181 6278396.555813999, 761159.0074226932 6278160.301014566, 759963.1270275457 6277838.135378975, 759487.6565089931 6277816.657669935, 758932.9409040151 6277673.472943006, 757902.7547804845 6277716.428361085, 757830.713792825 6278110.18636014, 757801.8973977612 6278747.358394976, 757614.5908298466 6279227.027230188, 757362.4473730384 6279635.103701937)))"
albopictus_field_surveillance_traps_geo.fid-4228c831_19d2a78f364_-6100,Murviel-lès-Montpellier,34,2023-10-17,44.270936,18,49.5,76.5,"MULTIPOLYGON (((757362.4473730384 6279635.103701937, 757420.0801631659 6279899.995446756, 757686.631817506 6280021.702464646, 758291.7761138458 6279907.154683102, 758572.7359657177 6280014.543228299, 759386.7991262699 6280429.778936394, 759487.6565089931 6280680.35220852, 759422.8196200996 6280945.243953339, 759552.4933978866 6281174.3395164255, 760208.0663855879 6281403.435079512, 760179.2499905241 6280816.377699103, 760215.2704843539 6280508.530536205, 760676.3328053746 6280121.931773496, 761050.945941204 6280365.345809276, 761295.8852992462 6280415.460463701, 761720.9271264371 6279606.466756551, 762225.2140400535 6278990.772430755, 761951.4582869475 6278797.473049401, 761576.8451511181 6278396.555813999, 761159.0074226932 6278160.301014566, 759963.1270275457 6277838.135378975, 759487.6565089931 6277816.657669935, 758932.9409040151 6277673.472943006, 757902.7547804845 6277716.428361085, 757830.713792825 6278110.18636014, 757801.8973977612 6278747.358394976, 757614.5908298466 6279227.027230188, 757362.4473730384 6279635.103701937)))"
albopictus_field_surveillance_traps_geo.fid-4228c831_19d2a78f364_-60ec,Murviel-lès-Montpellier,34,2023-10-31,23.889163,13.2,29.7,78.3,"MULTIPOLYGON (((757362.4473730384 6279635.103701937, 757420.0801631659 6279899.995446756, 757686.631817506 6280021.702464646, 758291.7761138458 6279907.154683102, 758572.7359657177 6280014.543228299, 759386.7991262699 6280429.778936394, 759487.6565089931 6280680.35220852, 759422.8196200996 6280945.243953339, 759552.4933978866 6281174.3395164255, 760208.0663855879 6281403.435079512, 760179.2499905241 6280816.377699103, 760215.2704843539 6280508.530536205, 760676.3328053746 6280121.931773496, 761050.945941204 6280365.345809276, 761295.8852992462 6280415.460463701, 761720.9271264371 6279606.466756551, 762225.2140400535 6278990.772430755, 761951.4582869475 6278797.473049401, 761576.8451511181 6278396.555813999, 761159.0074226932 6278160.301014566, 759963.1270275457 6277838.135378975, 759487.6565089931 6277816.657669935, 758932.9409040151 6277673.472943006, 757902.7547804845 6277716.428361085, 757830.713792825 6278110.18636014, 757801.8973977612 6278747.358394976, 757614.5908298466 6279227.027230188, 757362.4473730384 6279635.103701937)))"
albopictus_field_surveillance_traps_geo.fid-4228c831_19d2a78f364_-60d6,Murviel-lès-Montpellier,34,2023-11-14,2.039409,13.6,2.4,75.1,"MULTIPOLYGON (((757362.4473730384 6279635.103701937, 757420.0801631659 6279899.995446756, 757686.631817506 6280021.702464646, 758291.7761138458 6279907.154683102, 758572.7359657177 6280014.543228299, 759386.7991262699 6280429.778936394, 759487.6565089931 6280680.35220852, 759422.8196200996 6280945.243953339, 759552.4933978866 6281174.3395164255, 760208.0663855879 6281403.435079512, 760179.2499905241 6280816.377699103, 760215.2704843539 6280508.530536205, 760676.3328053746 6280121.931773496, 761050.945941204 6280365.345809276, 761295.8852992462 6280415.460463701, 761720.9271264371 6279606.466756551, 762225.2140400535 6278990.772430755, 761951.4582869475 6278797.473049401, 761576.8451511181 6278396.555813999, 761159.0074226932 6278160.301014566, 759963.1270275457 6277838.135378975, 759487.6565089931 6277816.657669935, 758932.9409040151 6277673.472943006, 757902.7547804845 6277716.428361085, 757830.713792825 6278110.18636014, 757801.8973977612 6278747.358394976, 757614.5908298466 6279227.027230188, 757362.4473730384 6279635.103701937)))"
albopictus_field_surveillance_traps_geo.fid-4228c831_19d2a78f364_-60c4,Murviel-lès-Montpellier,34,2023-11-28,0.022167,7.7,6.9,74.2,"MULTIPOLYGON (((757362.4473730384 6279635.103701937, 757420.0801631659 6279899.995446756, 757686.631817506 6280021.702464646, 758291.7761138458 6279907.154683102, 758572.7359657177 6280014.543228299, 759386.7991262699 6280429.778936394, 759487.6565089931 6280680.35220852, 759422.8196200996 6280945.243953339, 759552.4933978866 6281174.3395164255, 760208.0663855879 6281403.435079512, 760179.2499905241 6280816.377699103, 760215.2704843539 6280508.530536205, 760676.3328053746 6280121.931773496, 761050.945941204 6280365.345809276, 761295.8852992462 6280415.460463701, 761720.9271264371 6279606.466756551, 762225.2140400535 6278990.772430755, 761951.4582869475 6278797.473049401, 761576.8451511181 6278396.555813999, 761159.0074226932 6278160.301014566, 759963.1270275457 6277838.135378975, 759487.6565089931 6277816.657669935, 758932.9409040151 6277673.472943006, 757902.7547804845 6277716.428361085, 757830.713792825 6278110.18636014, 757801.8973977612 6278747.358394976, 757614.5908298466 6279227.027230188, 757362.4473730384 6279635.103701937)))"
albopictus_field_surveillance_traps_geo.fid-4228c831_19d2a78f364_-60b1,Murviel-lès-Montpellier,34,2023-12-12,0,10.2,2.9,73.8,"MULTIPOLYGON (((757362.4473730384 6279635.103701937, 757420.0801631659 6279899.995446756, 757686.631817506 6280021.702464646, 758291.7761138458 6279907.154683102, 758572.7359657177 6280014.543228299, 759386.7991262699 6280429.778936394, 759487.6565089931 6280680.35220852, 759422.8196200996 6280945.243953339, 759552.4933978866 6281174.3395164255, 760208.0663855879 6281403.435079512, 760179.2499905241 6280816.377699103, 760215.2704843539 6280508.530536205, 760676.3328053746 6280121.931773496, 761050.945941204 6280365.345809276, 761295.8852992462 6280415.460463701, 761720.9271264371 6279606.466756551, 762225.2140400535 6278990.772430755, 761951.4582869475 6278797.473049401, 761576.8451511181 6278396.555813999, 761159.0074226932 6278160.301014566, 759963.1270275457 6277838.135378975, 759487.6565089931 6277816.657669935, 758932.9409040151 6277673.472943006, 757902.7547804845 6277716.428361085, 757830.713792825 6278110.18636014, 757801.8973977612 6278747.358394976, 757614.5908298466 6279227.027230188, 757362.4473730384 6279635.103701937)))"
albopictus_field_surveillance_traps_geo.fid-4228c831_19d2a78f364_-609f,Murviel-lès-Montpellier,34,2024-04-03,0,13,0.5,77.3,"MULTIPOLYGON (((757362.4473730384 6279635.103701937, 757420.0801631659 6279899.995446756, 757686.631817506 6280021.702464646, 758291.7761138458 6279907.154683102, 758572.7359657177 6280014.543228299, 759386.7991262699 6280429.778936394, 759487.6565089931 6280680.35220852, 759422.8196200996 6280945.243953339, 759552.4933978866 6281174.3395164255, 760208.0663855879 6281403.435079512, 760179.2499905241 6280816.377699103, 760215.2704843539 6280508.530536205, 760676.3328053746 6280121.931773496, 761050.945941204 6280365.345809276, 761295.8852992462 6280415.460463701, 761720.9271264371 6279606.466756551, 762225.2140400535 6278990.772430755, 761951.4582869475 6278797.473049401, 761576.8451511181 6278396.555813999, 761159.0074226932 6278160.301014566, 759963.1270275457 6277838.135378975, 759487.6565089931 6277816.657669935, 758932.9409040151 6277673.472943006, 757902.7547804845 6277716.428361085, 757830.713792825 6278110.18636014, 757801.8973977612 6278747.358394976, 757614.5908298466 6279227.027230188, 757362.4473730384 6279635.103701937)))"
albopictus_field_surveillance_traps_geo.fid-4228c831_19d2a78f364_-608d,Murviel-lès-Montpellier,34,2024-04-10,0,15.2,8.3,61.3,"MULTIPOLYGON (((757362.4473730384 6279635.103701937, 757420.0801631659 6279899.995446756, 757686.631817506 6280021.702464646, 758291.7761138458 6279907.154683102, 758572.7359657177 6280014.543228299, 759386.7991262699 6280429.778936394, 759487.6565089931 6280680.35220852, 759422.8196200996 6280945.243953339, 759552.4933978866 6281174.3395164255, 760208.0663855879 6281403.435079512, 760179.2499905241 6280816.377699103, 760215.2704843539 6280508.530536205, 760676.3328053746 6280121.931773496, 761050.945941204 6280365.345809276, 761295.8852992462 6280415.460463701, 761720.9271264371 6279606.466756551, 762225.2140400535 6278990.772430755, 761951.4582869475 6278797.473049401, 761576.8451511181 6278396.555813999, 761159.0074226932 6278160.301014566, 759963.1270275457 6277838.135378975, 759487.6565089931 6277816.657669935, 758932.9409040151 6277673.472943006, 757902.7547804845 6277716.428361085, 757830.713792825 6278110.18636014, 757801.8973977612 6278747.358394976, 757614.5908298466 6279227.027230188, 757362.4473730384 6279635.103701937)))"
albopictus_field_surveillance_traps_geo.fid-4228c831_19d2a78f364_-607c,Murviel-lès-Montpellier,34,2024-04-17,0,13.6,0.4,47.6,"MULTIPOLYGON (((757362.4473730384 6279635.103701937, 757420.0801631659 6279899.995446756, 757686.631817506 6280021.702464646, 758291.7761138458 6279907.154683102, 758572.7359657177 6280014.543228299, 759386.7991262699 6280429.778936394, 759487.6565089931 6280680.35220852, 759422.8196200996 6280945.243953339, 759552.4933978866 6281174.3395164255, 760208.0663855879 6281403.435079512, 760179.2499905241 6280816.377699103, 760215.2704843539 6280508.530536205, 760676.3328053746 6280121.931773496, 761050.945941204 6280365.345809276, 761295.8852992462 6280415.460463701, 761720.9271264371 6279606.466756551, 762225.2140400535 6278990.772430755, 761951.4582869475 6278797.473049401, 761576.8451511181 6278396.555813999, 761159.0074226932 6278160.301014566, 759963.1270275457 6277838.135378975, 759487.6565089931 6277816.657669935, 758932.9409040151 6277673.472943006, 757902.7547804845 6277716.428361085, 757830.713792825 6278110.18636014, 757801.8973977612 6278747.358394976, 757614.5908298466 6279227.027230188, 757362.4473730384 6279635.103701937)))"
albopictus_field_surveillance_traps_geo.fid-4228c831_19d2a78f364_-6069,Murviel-lès-Montpellier,34,2024-04-24,0,11.8,13.2,55.2,"MULTIPOLYGON (((757362.4473730384 6279635.103701937, 757420.0801631659 6279899.995446756, 757686.631817506 6280021.702464646, 758291.7761138458 6279907.154683102, 758572.7359657177 6280014.543228299, 759386.7991262699 6280429.778936394, 759487.6565089931 6280680.35220852, 759422.8196200996 6280945.243953339, 759552.4933978866 6281174.3395164255, 760208.0663855879 6281403.435079512, 760179.2499905241 6280816.377699103, 760215.2704843539 6280508.530536205, 760676.3328053746 6280121.931773496, 761050.945941204 6280365.345809276, 761295.8852992462 6280415.460463701, 761720.9271264371 6279606.466756551, 762225.2140400535 6278990.772430755, 761951.4582869475 6278797.473049401, 761576.8451511181 6278396.555813999, 761159.0074226932 6278160.301014566, 759963.1270275457 6277838.135378975, 759487.6565089931 6277816.657669935, 758932.9409040151 6277673.472943006, 757902.7547804845 6277716.428361085, 757830.713792825 6278110.18636014, 757801.8973977612 6278747.358394976, 757614.5908298466 6279227.027230188, 757362.4473730384 6279635.103701937)))"
albopictus_field_surveillance_traps_geo.fid-4228c831_19d2a78f364_-6057,Murviel-lès-Montpellier,34,2024-04-30,0,13.1,56.6,77.8,"MULTIPOLYGON (((757362.4473730384 6279635.103701937, 757420.0801631659 6279899.995446756, 757686.631817506 6280021.702464646, 758291.7761138458 6279907.154683102, 758572.7359657177 6280014.543228299, 759386.7991262699 6280429.778936394, 759487.6565089931 6280680.35220852, 759422.8196200996 6280945.243953339, 759552.4933978866 6281174.3395164255, 760208.0663855879 6281403.435079512, 760179.2499905241 6280816.377699103, 760215.2704843539 6280508.530536205, 760676.3328053746 6280121.931773496, 761050.945941204 6280365.345809276, 761295.8852992462 6280415.460463701, 761720.9271264371 6279606.466756551, 762225.2140400535 6278990.772430755, 761951.4582869475 6278797.473049401, 761576.8451511181 6278396.555813999, 761159.0074226932 6278160.301014566, 759963.1270275457 6277838.135378975, 759487.6565089931 6277816.657669935, 758932.9409040151 6277673.472943006, 757902.7547804845 6277716.428361085, 757830.713792825 6278110.18636014, 757801.8973977612 6278747.358394976, 757614.5908298466 6279227.027230188, 757362.4473730384 6279635.103701937)))"
albopictus_field_surveillance_traps_geo.fid-4228c831_19d2a78f364_-6044,Murviel-lès-Montpellier,34,2024-05-07,0.028571,16.8,7.7,64.4,"MULTIPOLYGON (((757362.4473730384 6279635.103701937, 757420.0801631659 6279899.995446756, 757686.631817506 6280021.702464646, 758291.7761138458 6279907.154683102, 758572.7359657177 6280014.543228299, 759386.7991262699 6280429.778936394, 759487.6565089931 6280680.35220852, 759422.8196200996 6280945.243953339, 759552.4933978866 6281174.3395164255, 760208.0663855879 6281403.435079512, 760179.2499905241 6280816.377699103, 760215.2704843539 6280508.530536205, 760676.3328053746 6280121.931773496, 761050.945941204 6280365.345809276, 761295.8852992462 6280415.460463701, 761720.9271264371 6279606.466756551, 762225.2140400535 6278990.772430755, 761951.4582869475 6278797.473049401, 761576.8451511181 6278396.555813999, 761159.0074226932 6278160.301014566, 759963.1270275457 6277838.135378975, 759487.6565089931 6277816.657669935, 758932.9409040151 6277673.472943006, 757902.7547804845 6277716.428361085, 757830.713792825 6278110.18636014, 757801.8973977612 6278747.358394976, 757614.5908298466 6279227.027230188, 757362.4473730384 6279635.103701937)))"
